1	1258.669
2	1222.668
3	1216.629
4	1241.257
5	1148.674
6	1167.632
7	1206.893
8	1214.819
9	1300.114
10	1365.214
11	1256.25
12	1210.853
13	1186.677
14	1148.799
15	1140.526
16	1157.464
17	1238.63
18	2094.031
19	2542.92
20	2134.412
21	2442.84
22	1463.821
23	1361.519
24	1271.722
25	1258.62
26	1278.437
27	1774.002
28	1921.362
29	1540.207
30	1595.849
31	1491.339
32	2467.845
33	2732.215
34	2643.433
35	2129.826
36	2617.192
37	1768.55
38	1255.71
39	1180.187
40	1202.871
41	1203.691
42	1181.91
43	1164.309
44	1255.163
45	1262.525
46	1247.269
47	1170.062
48	1185.587
49	1179.434
50	1228.915
