1	93.259
2	167.395
3	146.800
4	154.269
5	133.732
6	167.012
7	138.836
8	130.377
9	133.666
10	126.757
11	135.278
12	119.450
13	117.880
14	113.805
15	115.147
16	117.366
17	123.985
18	117.758
19	125.155
20	134.247
21	110.270
22	112.728
23	124.605
24	104.628
25	132.449
26	110.813
27	112.501
28	121.442
29	124.345
30	119.398
31	113.389
32	119.576
33	126.969
34	121.407
35	117.528
36	124.335
37	108.531
38	102.912
39	105.198
40	160.885
41	118.219
42	123.199
43	118.257
44	118.819
45	110.632
46	119.054
47	112.325
48	120.157
49	109.600
50	102.628
