# To display the perf.data header info, please use --header/--header-only options.
#
#
# Total Lost Samples: 0
#
# Samples: 1K of event 'cpu_atom/cycles/P'
# Event count (approx.): 2975325396
#
# Children      Self  Command   Shared Object         Symbol                                                                                                                                                                                                          
# ........  ........  ........  ....................  ................................................................................................................................................................................................................
#
     0.72%     0.00%  postgres  postgres              [.] pg_atomic_fetch_or_u32 (inlined)
     0.72%     0.00%  postgres  postgres              [.] pg_atomic_fetch_or_u32_impl (inlined)
     0.72%     0.00%  postgres  postgres              [.] BufTableLookup
     0.65%     0.48%  postgres  ld-linux-x86-64.so.2  [.] __tls_get_addr
     0.64%     0.24%  postgres  [kernel.kallsyms]     [k] lruvec_stat_mod_folio
     0.64%     0.00%  postgres  [kernel.kallsyms]     [.] __folio_mod_stat
     0.64%     0.00%  postgres  [kernel.kallsyms]     [.] folio_add_new_anon_rmap
     0.64%     0.00%  postgres  [kernel.kallsyms]     [.] memcg1_commit_charge
     0.64%     0.64%  postgres  [kernel.kallsyms]     [k] fdget
     0.64%     0.32%  postgres  postgres              [.] StrategyGetBuffer
     0.64%     0.00%  postgres  [kernel.kallsyms]     [.] asm_sysvec_apic_timer_interrupt
     0.64%     0.00%  postgres  [kernel.kallsyms]     [.] sysvec_apic_timer_interrupt
     0.64%     0.08%  postgres  [kernel.kallsyms]     [.] touch_atime
     0.64%     0.64%  postgres  [kernel.kallsyms]     [k] _raw_spin_lock
     0.64%     0.08%  postgres  postgres              [.] UnlockReleaseBuffer
     0.64%     0.08%  postgres  [kernel.kallsyms]     [k] pte_offset_map_lock
     0.57%     0.57%  postgres  [kernel.kallsyms]     [k] btrfs_file_read_iter
     0.56%     0.08%  postgres  [kernel.kallsyms]     [.] rmqueue_bulk
     0.56%     0.56%  postgres  postgres              [.] LWLockRelease
     0.56%     0.00%  postgres  postgres              [.] pg_atomic_compare_exchange_u32_impl (inlined)
     0.56%     0.08%  postgres  [kernel.kallsyms]     [.] atime_needs_update
     0.55%     0.08%  postgres  pg_turbovec.so        [.] pg_turbovec::index::relfile::read_full
     0.55%     0.48%  postgres  pg_turbovec.so        [.] cee_scape::asm_based::call_with_sigsetjmp::<pgrx_pg_sys::submodules::ffi::pg_guard_ffi_boundary_impl<(), pgrx_pg_sys::include::pg17::UnlockReleaseBuffer::{closure#0}>::{closure#0}>
     0.48%     0.08%  postgres  [kernel.kallsyms]     [.] __folio_throttle_swaprate
     0.48%     0.00%  postgres  [kernel.kallsyms]     [.] __hrtimer_run_queues
     0.48%     0.00%  postgres  [kernel.kallsyms]     [.] __sysvec_apic_timer_interrupt
     0.48%     0.00%  postgres  [kernel.kallsyms]     [.] hrtimer_interrupt
     0.48%     0.24%  postgres  pg_turbovec.so        [.] pg_turbovec::index::relfile::read_rotation
     0.41%     0.33%  postgres  [kernel.kallsyms]     [.] blk_cgroup_congested
     0.40%     0.40%  postgres  [kernel.kallsyms]     [k] mod_node_page_state
     0.40%     0.32%  postgres  [kernel.kallsyms]     [k] entry_SYSCALL_64
     0.40%     0.40%  postgres  postgres              [.] hash_bytes
     0.40%     0.24%  postgres  [kernel.kallsyms]     [k] current_time
     0.40%     0.00%  postgres  postgres              [.] BufTableInsert
     0.40%     0.40%  postgres  [kernel.kallsyms]     [k] error_entry
     0.39%     0.39%  postgres  libc.so.6             [.] __memcmp_avx2_movbe
     0.36%     0.32%  postgres  pg_turbovec.so        [.] pgrx_pg_sys::submodules::thread_check::check_active_thread
     0.33%     0.24%  postgres  [kernel.kallsyms]     [k] handle_pte_fault
