1	26064.276
2	25940.09
3	26580.821
4	25990.311
5	25888.707
6	26784.717
7	25940.989
8	25724.572
9	26488.081
10	25931.942
11	25930.59
12	28457.535
13	27376.076
14	26968.848
15	26818.645
16	26698.404
17	25875.548
18	26341.736
19	26022.483
20	26467.637
21	25885.686
22	26567.755
23	26300.275
24	26310.635
25	26096.126
26	26366.837
27	26563.652
28	25818.872
29	25830.892
30	25825.86
31	26471.308
32	26358.126
33	26051.375
34	26140.987
35	26571.992
36	26310.236
37	26103.521
38	26260.752
39	26364.222
40	25749.519
41	25943.553
42	26809.337
43	26643.813
44	26994.466
45	27051.659
46	27061.108
47	26123.473
48	28498.808
49	26904.155
50	26058.531
